country	place	DISEASE_COUNT
Argentina	Rosario, Buenos Aires, Argentina	1
Argentina	Rosario, Santa Fe, Argentina	9
Argentina	San Carlos de Bariloche, Río Negro, Argentina	11
Argentina	San Nicolás de los Arroyos, Buenos Aires, Argentina	1
Argentina	Santa Fe, Santa Fe, Argentina	6
Argentina	Santiago del Estero, Santiago del Estero, Argentina	7
Argentina	Santiago del Estero, Termas de Río Hondo, Santiago del Estero Province, Argentina	1
Argentina	Santo Tomé, Corrientes Province, Argentina	2
Argentina	Sunchales, Santa Fe, Argentina	2
Argentina	Tancacha, Córdoba Province, Argentina	2
Argentina	Tandil, Buenos Aires, Argentina	2
Argentina	Ushuaia, Tierra del Fuego, Argentina	1
Argentina	Villa La Angostura, Neuquén, Argentina	2
Armenia	Armenia	2
Armenia	Geghark’unik’i Marz, Gegharkʼunikʼ, Armenia	5
Armenia	Vardenis, Gegharkunik, Armenia	2
Australia	Alexander Maconochie Centre, Hume, Australian Capital Territory, Australia	1
Australia	Australia	23
Australia	Australian Capital Territory, Australia	3
Australia	Beaudesert, Queensland, Australia	1
Australia	Blackburn, Victoria, Australia	1
Australia	Brisbane River, Queensland, Australia	1
Australia	Brisbane, Queensland, Australia	2
Australia	Cairns,  Queensland, Australia	2
Australia	Campbelltown, New South Wales, Australia	2
Australia	Canberra, Australian Capital Territory, Australia	1
Australia	Cottesloe Beach, Western Australia, Australia	1
Australia	Geelong, Victoria, Australia	1
Australia	Hunter valley, New South Wales, Australia	1
Australia	Kimberley,  Western Australia, Australia	1
Australia	Knox, Victoria, Australia	1
Australia	Lockyer Valley, Queensland, Australia	2
Australia	Maribyrnong, Victoria, Australia	1
Australia	Mecwacare Malvern Centre, Malvern, Victoria, Australia	1
Australia	Melbourne, Victoria, Australia	1
Australia	Merrimac State High School, Mermaid Waters, Queensland, Australia	1
Australia	Mount Isa, Queensland, Australia	1
Australia	New South Wales, Australia	8
Australia	Newcastle, New South Wales, Australia	1
Australia	Northern Territory, Australia	3
Australia	Osborne Park Hospital, Stirling, Western Australia , Australia	1
Australia	Queensland, Australia	14
Australia	South Australia, Australia	3
Australia	Sunshine Coast, Queensland, Australia	2
Australia	Swan River, Western Australia, Australia	1
Australia	Sydney, New South Wales, Australia	1
Australia	Tasmania, Australia	3
Australia	Toowoomba, Queensland, Australia	1
Australia	Victoria, Australia	3
Australia	Western Australia, Australia	2
Austria	Austria	6
Azerbaijan	Azerbaijan	2
Azerbaijan	Qakh Rayon, Qǝx, Azerbaijan	2
Azerbaijan	Stepanakert, Xankǝndi, Azerbaijan	1
Bahrain	Bahrain	1
Bahrain	Manama, Capital Governorate, Bahrain	1
Bangladesh	Bangladesh	2
Bangladesh	Rangpur Division, Bangladesh	1
Barbados	Barbados	1
Belarus	Belarus	1
Belarus	Minsk, Belarus	1
Belgium	Avelgem, Flanders, Belgium	1
Belgium	Belgium	9
Belgium	Borgerhout, Flanders, Belgium	3
Belgium	Brussels, Belgium	1
Belgium	Liège, Wallonia, Belgium	1
Belgium	Liège, Walloon Region, Belgium	1
Belgium	Luxembourg Province, Walloon Region, Belgium	1
Benin	Benin	2
Benin	Djougou, Donga, Benin	1
Benin	Donga, Benin	1
Benin	Département du Collines, Collines, Benin	1
Bhutan	Bhutan	10
Bhutan	Dagana Dzongkhag, Daga, Bhutan	1
Bhutan	Phuentsholing, Bhutan	1
Bhutan	Trashi Yangste, Bhutan	1
Bhutan	Trashigang Dzongkhag, Tashigang, Bhutan	1
Bolivia	Bolivia	14
Bolivia	Cochabamba, Cochabamba, Bolivia	1
Bolivia	Departamento de Chuquisaca, Bolivia	2
Bolivia	Departamento de Cochabamba, Bolivia	1
Bolivia	Departamento de La Paz, Bolivia	2
Bolivia	Departamento de Oruro, Bolivia	1
Bolivia	Departamento de Potosí, Bolivia	1
Bolivia	Departamento de Santa Cruz, Bolivia	1
Bolivia	Departamento de Tarija, Bolivia	2
Bolivia	Oruro, Oruro, Bolivia	1
Bolivia	Provincia Arani, Cochabamba, Bolivia	3
Bolivia	Yacuiba, Tarija, Bolivia	1
Brazil	Abaetetuba, Pará, Brazil	5
Brazil	Alagoas, Brazil	4
Brazil	Alfenas - Minas Gerais, Brazil	1
Brazil	Amazonas, Brazil	1
Brazil	Anastácio, Mato Grosso do Sul, Brazil	1
Brazil	Angra dos Reis, Rio de Janeiro, Brazil	1
Brazil	Aquidauana, Mato Grosso do Sul, Brazil	1
Brazil	Aracaju, Sergipe, Brazil	4
Brazil	Arapongas, Paraná, Brazil	1
Brazil	Araraquara, São Paulo, Brazil	2
Brazil	Araçatuba - São Paulo, Brazil	2
Brazil	Araçatuba, São Paulo, Brazil	1
Brazil	Arcos, Minas Gerais, Brazil	1
Brazil	Ariquemes, Rondônia, Brazil	1
Brazil	Bahia, Brazil	7
Brazil	Baixada Santista - Cubatão - São Paulo, Brazil	1
Brazil	Barueri, São Paulo, Brazil	1
Brazil	Bauru, São Paulo, Brazil	8
Brazil	Belo Horizonte, Minas Gerais, Brazil	3
Brazil	Betim, Minas Gerais, Brazil	4
Brazil	Brasília, Distrito Federal, Brazil	1
Brazil	Brazil	30
Brazil	Cachoeirinha - Rio Grande do Sul, Brazil	1
Brazil	Campinas, São Paulo, Brazil	17
Brazil	Campo Grande, Mato Grosso do Sul, Brazil	6
Brazil	Caratinga - Minas Gerais, Brazil	1
Brazil	Carrossel, São Paulo, Brazil	1
Brazil	Casa Branca - São Paulo, Brazil	8
Brazil	Cascavel, Paraná, Brazil	1
Brazil	Catanduva - São Paulo, Brazil	1
Brazil	Catanduva, São Paulo, Brazil	2
Brazil	Ceará, Brazil	14
Brazil	Cuiabá, Mato Grosso, Brazil	5
Brazil	Curitiba, Paraná, Brazil	1
Brazil	Diamante, Paraná, Brazil	1
Brazil	Divinópolis, Minas Gerais, Brazil	3
Brazil	Dourados, Mato Grosso do Sul, Brazil	1
Brazil	Espírito Santo, Brazil	1
Brazil	Fortaleza, Ceará, Brazil	2
Brazil	Foz do Iguaçu, Paraná, Brazil	1
Brazil	Guabiruba - Santa Catarina, Brazil	1
Brazil	Indaiatuba, São Paulo, Brazil	4
Brazil	Iranduba - Amazonas, Brazil	1
Brazil	Itabuna, Bahia, Brazil	1
Brazil	Itajubá - Minas Gerais, Brazil	1
Brazil	Itapeva - São Paulo, Brazil	2
Brazil	Ituiutaba, Minas Gerais, Brazil	3
Brazil	Ji-Paraná, Rondônia, Brazil	1
Brazil	Juiz de Fora, Minas Gerais, Brazil	1
Brazil	Jundiaí - São Paulo, Brazil	2
Brazil	Limeira - São Paulo, Brazil	1
Brazil	Londrina, Paraná, Brazil	13
Brazil	Lorena, São Paulo, Brazil	1
Brazil	Lucas do Rio Verde, Mato Grosso, Brazil	3
Brazil	Macaé, Rio de Janeiro, Brazil	1
Brazil	Manaus, Amazonas, Brazil	4
Brazil	Mandaguari, Paraná, Brazil	1
Brazil	Maranhão, Brazil	15
Brazil	Maringá - Paraná, Brazil	5
Brazil	Mato Grosso do Sul, Brazil	3
Brazil	Mato Grosso, Brazil	48
Brazil	Minas Gerais, Brazil	19
Brazil	Mogi Guaçu, São Paulo, Brazil	1
Brazil	Mogi Mirim, São Paulo, Brazil	1
Brazil	Monte Alto - São Paulo, Brazil	1
Brazil	Mâncio Lima, Acre, Brazil	1
Brazil	Natal, Rio Grande do Norte, Brazil	1
Brazil	Nova Mutum, Mato Grosso, Brazil	1
Brazil	Novo Hamburgo, Rio Grande do Sul, Brazil	1
Brazil	Paraguaçu Paulista - São Paulo, Brazil	1
Brazil	Paraná, Brazil	23
Brazil	Paraíba, Brazil	20
Brazil	Pará, Brazil	7
Brazil	Paulínia, São Paulo, Brazil	1
Brazil	Pernambuco, Brazil	1
Brazil	Piauí, Brazil	12
Brazil	Piracicaba, São Paulo, Brazil	3
Brazil	Ponta Grossa - Paraná, Brazil	2
Brazil	Porto Alegre, Rio Grande do Sul, Brazil	2
Brazil	Porto Seguro, Bahia, Brazil	1
Brazil	Porto Velho, Rondônia, Brazil	3
Brazil	Pouso Alegre - Minas Gerais, Brazil	1
Brazil	Poços de Caldas - Minas Gerais, Brazil	1
Brazil	Reduto - Minas Gerais, Brazil	1
Brazil	Ribeirão Preto, São Paulo, Brazil	5
Brazil	Rio Claro, São Paulo, Brazil	3
Brazil	Rio Grande do Norte, Brazil	5
Brazil	Rio Grande do Sul, Brazil	23
Brazil	Rio Verde de Mato Grosso, Mato Grosso do Sul, Brazil	1
Brazil	Rondonópolis, Mato Grosso, Brazil	1
Brazil	Rondônia, Brazil	2
Brazil	Roraima, Brazil	4
Brazil	Salvador, Bahia, Brazil	1
Brazil	Sambaíba - Maranhão, Brazil	5
Brazil	Santa Catarina, Brazil	8
Brazil	Santa Fé do Sul, São Paulo, Brazil	1
Brazil	Santana de Parnaíba - São Paulo, Brazil	2
Brazil	Santos - São Paulo, Brazil	2
Brazil	Sergipe, Brazil	3
Brazil	Serranos - Minas Gerais, Brazil	1
Brazil	Sorocaba, São Paulo, Brazil	3
Brazil	Sorriso, Mato Grosso, Brazil	2
Brazil	São Borja - Rio Grande do Sul, Brazil	1
Brazil	São Gabriel do Oeste, Mato Grosso do Sul, Brazil	1
Brazil	São José do Rio Preto, São Paulo, Brazil	1
Brazil	São Luís, Maranhão, Brazil	1
Brazil	São Paulo, Brazil	16
Brazil	São Raimundo das Mangabeiras - Maranhão, Brazil	1
Brazil	Taubaté - São Paulo, Brazil	1
Brazil	Taubaté, São Paulo, Brazil	2
Brazil	Teresina, Piauí, Brazil	2
Brazil	Três Corações - Minas Gerais, Brazil	1
Brazil	Três Lagoas, Mato Grosso do Sul, Brazil	3
Brazil	Uberaba, Minas Gerais, Brazil	2
Brazil	Uruçuí - Piauí, Brazil	1
Brazil	Vila Velha - Espirito Santo, Brazil	1
Brazil	Vilhena, Rondônia, Brazil	1
Brazil	Volta Redonda, Rio de Janeiro, Brazil	1
Brazil	Votuporanga, São Paulo, Brazil	1
Brazil	Várzea Grande, Mato Grosso, Brazil	2
Bulgaria	Sofia, Oblast Sofiya-Grad, Bulgaria	2
Burkina Faso	Burkina Faso	1
Burundi	Burundi	1
Cambodia	Cambodia	19
Cambodia	Kâmpóng Chhnăng, Kâmpóng Chhnăng, Cambodia	2
Cameroon	Cameroon	4
Canada	Alberta Province, Canada	24
Canada	British Columbia Province, Canada	15
Canada	Brooks, Alberta, Canada	2
Canada	Brossard, Quebec, Canada	1
Canada	Calgary, Alberta, Canada	3
Canada	Canada	75
Canada	Chilliwack, British Columbia, Canada	3
Canada	Cold Lake, Alberta, Canada	1
Canada	Culloden Point, British Columbia, Canada	2
Canada	Cummer Lodge, Toronto, Ontario, Canada	1
Canada	Dryden, Ontario, Canada	1
Canada	Durham, Ontario, Canada	2
Canada	East Hants, Nova Scotia, Canada	2
Canada	Edmonton, Alberta, Canada	4
Canada	Elgin County, Ontario, Canada	1
Canada	Ellison, British Columbia, Canada	1
Canada	Essa, Ontario, Canada	1
Canada	Estrie, Quebec, Canada	2
Canada	Fort McMurray, Alberta, Canada	1
Canada	Fort St. John, British Columbia, Canada	1
Canada	Greater Niagara General Hospital, Niagara Falls, Ontario, Canada	2
Canada	Greenwood, British Columbia, Canada	1
Canada	Halifax, Nova Scotia, Canada	8
Canada	Hamilton, Ontario, Canada	2
Canada	Hotel Dieu Shaver Health Center, St Catharines, Ontario, Canada	1
Canada	Hôtel-Dieu Grace Hospital, Windsor, Ontario, Canada	1
Canada	Iqaluit, Nunavut, Canada	2
Canada	Juravinski Hospital and Cancer Centre, Hamilton, Ontario, Canada	1
Canada	Kamloops, British Columbia, Canada	1
Canada	Kangiqsualujjuaq, Quebec, Canada	1
Canada	Kelowna, British Columbia, Canada	1
Canada	Kinistino, Saskatchewan, Canada	1
Canada	Kitchener, Ontario, Canada	1
Canada	Kitchener-Waterloo Humane Society, Kitchener, Ontario, Canada	1
Canada	Lady Minto/Gulf Islands Hospital, Salt Spring Island, British Columbia, Canada	1
Canada	Lake Erie, Ontario, Canada	6
Canada	Lambton, Ontario, Canada	1
Canada	Lanaudière, Quebec, Canada	1
Canada	Langford, British Columbia, Canada	1
Canada	London, Ontario, Canada	2
Canada	Longueuil, Quebec, Canada	2
Canada	Mackenzie Bison Sanctuary,  Northwest Territories, Canada	1
Canada	Manitoba Province, Canada	5
Canada	Montreal, Quebec, Canada	4
Canada	Montérégie, Quebec, Canada	1
Canada	New Brunswick Province, Canada	2
Canada	New Tecumseth, Ontario, Canada	1
Canada	Newfoundland and Labrador Province, Canada	6
Canada	Newfoundland, Newfoundland and Labrador, Canada	1
Canada	Niagara, Ontario, Canada	2
Canada	Norfolk General Hospital, Simcoe, ON, Canada	1
Canada	Northwest Territories, Canada	6
Canada	Nunavut Territory, Canada	1
Canada	Okanagan,  British Columbia, Canada	1
Canada	Ontario Province, Canada	24
Canada	Ottawa, Ontario, Canada	2
Canada	Peterborough, Ontario, Canada	1
Canada	Pine Lake, Alberta, Canada	1
Canada	Prince Albert, Saskatchewan, Canada	3
Canada	Quebec City, Quebec, Canada	30
Canada	Quebec Province, Canada	57
Canada	Ramsey Lake Health Centre, Health Sciences North, Sudbury, Ontario, Canada	1
Canada	Regina, Saskatchewan, Canada	1
Canada	Regional District of Kootenay-Boundary, British Columbia, Canada	2
Canada	Rimouski, Quebec, Canada	1
Canada	Rycroft, Alberta, Canada	1
Canada	Saint John,  New Brunswick, Canada	1
Canada	Saskatchewan Province, Canada	14
Canada	Saskatoon, Saskatchewan, Canada	1
Canada	Scarborough Hospital, Scarborough, Ontario, Canada	2
Canada	Simcoe County, Ontario, Canada	1
Canada	South Bruce Grey Health Centre, Durham, Ontario, Canada	1
Canada	Springdale, Newfoundland and Labrador, Canada	1
Canada	St Josephs Hospital, Hamilton, ON, Canada	1
Canada	St. John's, Newfoundland and Labrador, Canada	1
Canada	Stanhope Beach Resort & Conference Centre, Prince Edward Island, Canada	6
Canada	Sudbury, Ontario, Canada	2
Canada	Sydney, Nova Scotia, Canada	1
Canada	The St Catharines General Hospital, St Catharines, ON L2R 2Z7, Canada	3
Canada	Thunder Bay, Ontario, Canada	1
Canada	Tillsonburg,  Ontario, Canada	1
Canada	Toronto, Ontario, Canada	7
Canada	Vancouver Island, British Columbia, Canada	1
Canada	Vancouver, British Columbia, Canada	3
Canada	Vernon, British Columbia, Canada	1
Canada	Victoria Harbour, Ontario, Canada	1
Canada	Victoriaville, Quebec, Canada	2
Canada	Waterloo, Ontario, Canada	1
Canada	Watson Lake, Yukon, Canada	1
Canada	Winnipeg, Manitoba, Canada	2
Canada	Woodstock, New Brunswick, Canada	1
Canada	Yukon Territory, Canada	2
Cape Verde	Cape Verde	3
Central African Republic	Central African Republic	1
Chad	Chad	5
Chile	Angol, Araucanía Region, Chile	1
Chile	Chiguayante, Biobío Region, Chile	3
Chile	Chile	20
Chile	Chillán, Biobío, Chile	1
Chile	Concepción, Biobío, Chile	1
Chile	Huasco, Atacama, Chile	1
Chile	Los Ríos Region, Chile	1
Chile	Nancagua, O'Higgins Region, Chile	1
Chile	Nueva Imperial, Araucanía Region, Chile	1
Chile	Osorno, Los Lagos, Chile	8
Chile	Patagonia, Magallanes y Antártica Chilena, Chile	1
Chile	Provincia de Valparaíso, Valparaíso, Chile	2
Chile	Provincia de Ñuble, Biobío, Chile	1
Chile	Puente Alto, Santiago Metropolitan Region, Chile	2
Chile	Pulelfu, Osorno, Los Lagos Region, Chile	1
Chile	Quellón, Los Lagos Region, Chile	1
Chile	Región Metropolitana de Santiago, Chile	2
Chile	Región de Antofagasta, Chile	2
Chile	Región de Los Lagos, Chile	1
Chile	Región de Los Ríos, Chile	1
Chile	Región del Biobío, Chile	3
Chile	Región del Maule, Chile	1
Chile	Santiago, Metropolitana de Santiago, Chile	4
Chile	Talcahuano, Biobío, Chile	1
Chile	Valdivia, Los Ríos, Chile	1
Chile	Valparaíso, Valparaíso, Chile	1
China	Anhui Province	6
China	Beijing, China	65
China	China	108
China	Chongqing	7
China	Foshan, Guangdong, China	2
China	Fujian Province	2
China	Gansu Province	7
China	Ganyu Xian, Jiangsu Sheng, China	1
China	Guangdong Province	65
China	Guangdong Sheng, Guangdong, China	3
China	Guangxi Autonomous Region	3
China	Guangzhou, Guangdong, China	13
China	Guizhou Province	19
China	Hainan Province	8
China	Hainan Province, China	1
China	Haven Of Hope Hospital, Hong Kong	1
China	Hebei Province	31
China	Heilongjiang Province	3
China	Henan Province	8
China	Hengshui Shi, Hebei, China	1
China	Hong Kong	41
China	Huangshi, Hubei, China	4
China	Hubei Province	120
China	Hunan Province	32
China	Inner Mongolia Autonomous Region	6
China	Jiangsu Province	85
China	Jiangxi Province	1
China	Jilin Province	1
China	Jingzhou, Hubei, China	4
China	Kaohsiung City, Taiwan	1
China	Kowloon City, Hong Kong	1
China	Lanzhou, Gansu, China	1
China	Lianyungang, Jiangsu Sheng, China	2
China	Liaoning Province	117
China	Liaozhong, Liaoning, China	1
China	Macau	9
China	Nanjing	3
China	Ningxia Autonomous Region	2
China	Nyingchi, Tibet, China	2
China	Qinghai Province	7
China	Queen Elizabeth Hospital, Yau Ma Tei, Hong Kong	1
China	Sanya, Hainan Province, China	1
China	Sha Tin, Hong Kong	1
China	Shaanxi Province	3
China	Shandong Province	21
China	Shanghai	13
China	Shanxi Province	2
China	Shenzhen, Guangdong, China	2
China	Sichuan Province	51
China	Taichung County, Taiwan	2
China	Tainan City, Taiwan	1
China	Taipei	1
China	Taiwan	46
China	Tianjin	7
China	Tibet Autonomous Region	9
China	Xiangtan, Hunan Province, China	1
China	Xinhui, Guangdong Sheng, China	1
China	Xinhui, Guangdong, China	1
China	Xinyang, Henan, China	2
China	Xishuangbanna, Yunnan Province, China	1
China	Yilan, Taiwan, Taiwan	1
China	Yuanshan Cun, Taiwan, Taiwan	3
China	Yuen Long, Hong Kong	1
China	Yunnan Province	28
China	Yunnan Province, China	2
China	Zhanjiang, Guangdong, China	1
China	Zhaotong, Yunnan, China	1
China	Zhejiang Province	7
Colombia	Aguachica, Cesar, Colombia	2
Colombia	Barranquilla, Atlántico, Colombia	1
Colombia	Bellavista, Magdalena, Colombia	1
Colombia	Bogotá, Distrito Capital, Colombia	4
Colombia	Cafam, Bogota, Colombia	1
Colombia	Cartagena, Bolívar, Colombia	1
Colombia	Chiriguaná, Cesar, Colombia	2
Colombia	Codazzi, Cesar, Colombia	2
Colombia	Colombia	9
Colombia	Cordoba, Colombia	2
Colombia	Curumaní, Cesar, Colombia	2
Colombia	Cárcel Modelo, Bogotá, Distrito Capital, Colombia	1
Colombia	Departamento de Cundinamarca, Colombia	2
Colombia	Departamento de Córdoba, Colombia	3
Colombia	Departamento del Cesar, Cesar, Colombia	1
Colombia	Departamento del Huila, Colombia	4
Colombia	Departamento del Meta, Colombia	1
Colombia	Girardot, Cundinamarca, Colombia	1
Colombia	Magangué, Bolívar, Colombia	1
Colombia	Manaure, La Guajira, Colombia	2
Colombia	Manizales, Caldas, Colombia	1
Colombia	Neiva, Huila, Colombia	2
Colombia	Pereira, Risaralda, Colombia	5
Colombia	Pueblo Nuevo, Córdoba, Colombia	1
Colombia	Repelón, Atlantico, Colombia	1
Colombia	Sincelejo, Sucre, Colombia	2
Colombia	Socorro, Santander, Colombia	1
Colombia	Sogamoso, Boyacá, Colombia	1
Colombia	Valledupar, Cesar, Colombia	5
Colombia	Villavicencio, Meta, Colombia	1
Costa Rica	Alajuela, Alajuela, Costa Rica	2
Costa Rica	Costa Rica	22
Costa Rica	Parrita, Puntarenas, Costa Rica	2
Costa Rica	Puntarenas, Puntarenas, Costa Rica	1
Cote d'Ivoire	Abengourou, Moyen-Comoé, Cote d'Ivoire	1
Cote d'Ivoire	Cote d'Ivoire	1
Cote d'Ivoire	Tiassalé, Lagunes, Cote d'Ivoire	3
Croatia	Croatia	6
Croatia	Ilok, Vukovarsko-Srijemska, Croatia	1
Croatia	Korog, Vukovarsko-Srijemska, Croatia	1
Croatia	Vukovarsko-Srijemska Županija, Vukovarsko-Srijemska, Croatia	1
Cuba	Bahia Honda, Cuba	3
Cuba	Camagüey, Camagüey, Cuba	8
Cuba	Ciego de Avila, Cuba	1
Cuba	Cienfuegos, Cienfuegos, Cuba	1
Cuba	Cuba	46
Cuba	Manzanillo, Granma, Cuba	2
Cuba	Provincia Granma, Cuba	5
Cuba	Regla, Havana, Cuba	1
Cuba	Sabino Hernández, Villa Clara, Cuba	1
Cuba	San Luis, Santiago de Cuba, Cuba	5
Cuba	Santa Clara, Cuba	1
Cuba	Santiago de Cuba, Santiago de Cuba, Cuba	3
Cuba	Santo Domingo, Villa Clara, Cuba	1
Czech Republic	Czech Republic	8
DR Congo	Butembo, Nord Kivu, DR Congo	3
DR Congo	DR Congo	118
DR Congo	Democratic Republic of the Congo	2
DR Congo	Dungu, Orientale, DR Congo	10
DR Congo	Goma, Nord-Kivu, Congo [DRC]	1
DR Congo	Haut Uele, Orientale, DR Congo	7
DR Congo	Isiro, Orientale, DR Congo	20
DR Congo	Ituri, Orientale, DR Congo	1
DR Congo	Kinshasa, Kinshasa, DR Congo	1
DR Congo	Malemba-Nkulu, Katanga, DR Congo	1
DR Congo	Pawa, Orientale, DR Congo	2
DR Congo	Province Orientale, Orientale, DR Congo	1
DR Congo	Province d'Orientale, DR Congo	19
DR Congo	Province de Bas-Congo, DR Congo	3
DR Congo	Province de Kasai-Occidental, DR Congo	1
DR Congo	Province de Maniema, DR Congo	1
DR Congo	Province de Nord-Kivu, DR Congo	2
DR Congo	Province de l'Équateur, DR Congo	5
DR Congo	Viadana, Orientale, DR Congo	4
Denmark	Denmark	5
Denmark	Funen, South Denmark, Denmark	1
Denmark	Hvidovre Hospital, Hvidovre, Denmark	2
Denmark	Jutland, Denmark	1
Denmark	Odense University Hospital, Odense, Denmark	4
Denmark	Skjern, Central Jutland, Denmark	1
Denmark	Zealand, Denmark	1
Dominican Republic	Boca Chica, Dominican Republic	1
Dominican Republic	Capotillo, Dominican Republic	2
Dominican Republic	Cristo Redentor, Santo Domingo, Dominican Republic	1
Dominican Republic	Dominican Republic	59
Dominican Republic	Esperanza, Dominican Republic	4
Dominican Republic	Los Alcarrizos, Distrito Nacional, Dominican Republic	1
Dominican Republic	Monte Cristi, Dominican Republic	3
Dominican Republic	Provincia de Dajabón, Dajabón, Dominican Republic	3
Dominican Republic	Provincia de Santiago, Santiago, Dominican Republic	10
Dominican Republic	Provincia de Santo Domingo, Dominican Republic	4
Dominican Republic	Provincia de Valverde, Valverde, Dominican Republic	5
Dominican Republic	Quisqueya, Dominican Republic	1
Dominican Republic	Santiago de los Caballeros, Santiago, Dominican Republic	3
Dominican Republic	Santiago, Dominican Republic	2
Dominican Republic	Santo Domingo Norte, Dominican Republic	1
Dominican Republic	Santo Domingo, Distrito Nacional, Dominican Republic	5
Dominican Republic	Tamboril, Santiago, Dominican Republic	19
Ecuador	Ecuador	8
Ecuador	Manta, Manabí, Ecuador	2
Ecuador	Provincia de Manabí, Ecuador	1
Ecuador	Salcedo, Ecuador	1
Egypt	Al Arish, North Sinai, Egypt	1
Egypt	Al Badrashin, Giza, Egypt	1
Egypt	Al Fayyum, Al Fayyūm, Egypt	1
Egypt	Al Marāshidah, Qinā, Egypt	1
Egypt	Alexandria Governorate, Egypt	11
Egypt	Ashmūn, Al Minūfīyah, Egypt	1
Egypt	Aswan Governorate, Egypt	4
Egypt	Asyut Governorate, Egypt	14
Egypt	Beheira Governorate, Al Buḩayrah, Egypt	1
Egypt	Beheira Governorate, Egypt	3
Egypt	Beni Suef Governorate, Egypt	5
